song,rating,link
cut my hair,9.7,https://open.spotify.com/track/2byJqu4cw657Y7G6nFogkG?si=509904caba004a6f
greedy,9.98,https://open.spotify.com/track/4kfSXPK13aXkLzuz02hCSC?si=4891c8278ec143e5
run for the hills,9.8,https://open.spotify.com/track/51hyZpbJlIgZIaX3TtMxmu?si=622b2c08d86b4a83
hurt my feelings,9.9,https://open.spotify.com/track/4mFcwFOlSCxp6hjemRXwpd?si=c7f15c03c24740f4
grave,9.92,https://open.spotify.com/track/6jDT7DB6k0psPX0nWNDI1K?si=6eb11a2b1509415b
stay done,9.95,https://open.spotify.com/track/2zScQCfO2BKtR0Yk8dtELN?si=e55886356e724418
exes,9.97,https://open.spotify.com/track/4E63weMCaNZuGPEFMnuEi8?si=21f61dff52b14e09
we're not alike,10,https://open.spotify.com/track/0tFRxPQHvAUMTbWYRJUo8R?si=49ef90375d02413b
calgary,9.98,https://open.spotify.com/track/01BDK4Skxzh5mqnTbQzWGy?si=dba278feb2054300
messier,9.96,https://open.spotify.com/track/53H3ajzHjI5M9ZeewvRO3h?si=127be912708e4551
think later,9.95,https://open.spotify.com/track/44c9MsAwxoAdAYpCVRBAG1?si=e4a73e83de924e4d
guilty conscience,9.9,https://open.spotify.com/track/2wIcebwzceIwgonsDICx6P?si=d34904f40df041ec
want that too,9.94,https://open.spotify.com/track/5BLxf0dPOTKMFFgUEp8M6T?si=c2704b5e7f774b27
plastic palm trees,9.94,https://open.spotify.com/track/7Moee27EB8Qc4pNTzB870r?si=dd56300b84ba4290
